

미국 USD,"1,332.80","1,356.12","1,309.48","1,345.80","1,319.80",1.000
유럽연합 EUR,"1,436.89","1,465.48","1,408.30","1,451.25","1,422.53",1.078
일본 JPY (100엔),888.92,904.47,873.37,897.63,880.21,0.667
중국 CNY,184.85,194.09,175.61,186.69,183.01,0.139
홍콩 HKD,170.41,173.76,167.06,172.11,168.71,0.128
대만 TWD,42.48,48.04,38.24,N/A,N/A,0.032
영국 GBP,"1,681.39","1,714.51","1,648.27","1,698.20","1,664.58",1.262
오만 OMR,"3,461.91","3,704.24","3,219.58",N/A,N/A,2.598
캐나다 CAD,989.09,"1,008.57",969.61,998.98,979.20,0.742
스위스 CHF,"1,513.69","1,543.50","1,483.88","1,528.82","1,498.56",1.136
스웨덴 SEK,127.73,131.94,120.45,129.00,126.46,0.096
호주 AUD,871.92,889.09,854.75,880.63,863.21,0.654
뉴질랜드 NZD,818.21,834.32,802.10,826.39,810.03,0.614
체코 CZK,56.49,61.29,51.41,57.11,55.87,0.042
칠레 CLP,1.37,1.50,1.24,N/A,N/A,0.001
튀르키예 TRY,43.20,N/A,N/A,43.67,42.73,0.032
몽골 MNT,0.39,N/A,N/A,N/A,N/A,0.000
이스라엘 ILS,369.41,406.35,339.86,N/A,N/A,0.277
덴마크 DKK,192.74,199.10,181.76,194.66,190.82,0.145
노르웨이 NOK,126.80,130.98,119.58,128.06,125.54,0.095
사우디아라비아 SAR,355.38,377.76,330.86,358.93,351.83,0.267
쿠웨이트 KWD,"4,327.55","4,608.84","3,981.35","4,370.82","4,284.28",3.247
바레인 BHD,"3,535.47","3,761.74","3,252.64","3,570.82","3,500.12",2.653
아랍에미리트 AED,362.88,382.83,337.85,366.50,359.26,0.272
요르단 JOD,"1,879.43","2,046.69","1,729.08",N/A,N/A,1.410
이집트 EGP,43.13,N/A,N/A,N/A,N/A,0.032
태국 THB,37.08,38.93,34.86,37.45,36.71,0.028
싱가포르 SGD,990.97,"1,010.69",971.25,"1,000.87",981.07,0.744
말레이시아 MYR,278.83,299.46,258.20,N/A,276.05,0.209
인도네시아 IDR 100,8.55,9.40,7.70,8.63,8.47,0.006
카타르 QAR,365.48,N/A,N/A,N/A,N/A,0.274
카자흐스탄 KZT,2.96,N/A,N/A,N/A,N/A,0.002
브루나이 BND,990.97,"1,030.60",931.52,N/A,N/A,0.744
인도 INR,16.05,N/A,N/A,N/A,N/A,0.012
파키스탄 PKR,4.82,N/A,N/A,N/A,N/A,0.004
방글라데시 BDT,12.14,N/A,N/A,N/A,N/A,0.009
필리핀 PHP,23.82,26.20,21.87,24.05,23.59,0.018
멕시코 MXN,78.18,86.38,69.98,78.96,77.40,0.059
브라질 BRL,268.24,295.60,241.42,N/A,265.03,0.201
베트남 VND 100,5.44,6.08,4.80,5.49,5.39,0.004
남아프리카 공화국 ZAR,70.59,76.23,64.95,71.43,69.75,0.053
러시아 RUB,14.49,15.86,11.96,14.99,13.99,0.011
헝가리 HUF,3.70,4.04,3.41,3.74,3.66,0.003
폴란드 PLN,330.87,357.33,304.41,334.50,327.24,0.248
스리랑카 LKR,4.27,N/A,N/A,N/A,N/A,0.003
알제리 DZD,9.90,N/A,N/A,N/A,N/A,0.007
케냐 KES,9.22,N/A,N/A,N/A,N/A,0.007
콜롬비아 COP,0.34,N/A,N/A,N/A,N/A,0.000
탄자니아 TZS,0.52,N/A,N/A,N/A,N/A,0.000
네팔 NPR,10.03,N/A,N/A,N/A,N/A,0.008
루마니아 RON,288.64,N/A,N/A,N/A,N/A,0.217
리비아 LYD,274.89,N/A,N/A,277.63,272.15,0.206
마카오 MOP,165.32,N/A,N/A,N/A,N/A,0.124
미얀마 MMK,0.63,N/A,N/A,N/A,N/A,0.001
에티오피아 ETB,23.51,N/A,N/A,N/A,N/A,0.018
우즈베키스탄 UZS,0.11,N/A,N/A,N/A,N/A,0.000
캄보디아 KHR,0.33,N/A,N/A,N/A,N/A,0.000
피지 FJD,594.43,N/A,N/A,N/A,N/A,0.446
