국가명,금액
미국 USD,"1,450.14"
유럽연합 EUR,"1,450.14"
일본 JPY (100엔),894.98
중국 CNY,184.83
홍콩 HKD,170.22
대만 TWD,42.13
영국 GBP,"1,697.66"
오만 OMR,"3,458.53"
캐나다 CAD,983.96
스위스 CHF,"1,507.33"
스웨덴 SEK,128.83
호주 AUD,874.40
뉴질랜드 NZD,811.68
체코 CZK,57.59
칠레 CLP,1.42
튀르키예 TRY,41.33
몽골 MNT,0.39
이스라엘 ILS,364.38
덴마크 DKK,194.44
노르웨이 NOK,125.86
사우디아라비아 SAR,355.04
쿠웨이트 KWD,"4,330.79"
바레인 BHD,"3,535.58"
아랍에미리트 AED,362.57
요르단 JOD,"1,879.19"
이집트 EGP,27.86
태국 THB,37.17
싱가포르 SGD,995.77
말레이시아 MYR,283.03
인도네시아 IDR 100,8.56
카타르 QAR,365.09
카자흐스탄 KZT,2.97
브루나이 BND,995.77
인도 INR,16.07
파키스탄 PKR,4.77
방글라데시 BDT,12.13
필리핀 PHP,23.98
멕시코 MXN,79.72
브라질 BRL,266.85
베트남 VND 100,5.39
남아프리카 공화국 ZAR,71.28
러시아 RUB,14.48
헝가리 HUF,3.68
폴란드 PLN,337.50
스리랑카 LKR,4.36
알제리 DZD,9.91
케냐 KES,9.90
콜롬비아 COP,0.34
탄자니아 TZS,0.52
네팔 NPR,10.04
루마니아 RON,291.75
리비아 LYD,276.97
마카오 MOP,165.18
미얀마 MMK,0.63
에티오피아 ETB,23.45
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,594.38
