국가명,금액
미국 USD,"1,473.47"
유럽연합 EUR,"1,473.47"
일본 JPY (100엔),899.54
중국 CNY,190.62
홍콩 HKD,176.64
대만 TWD,42.79
영국 GBP,"1,723.52"
오만 OMR,"3,594.38"
캐나다 CAD,"1,005.45"
스위스 CHF,"1,513.18"
스웨덴 SEK,127.42
호주 AUD,896.84
뉴질랜드 NZD,822.53
체코 CZK,58.15
칠레 CLP,1.43
튀르키예 TRY,42.70
몽골 MNT,0.41
이스라엘 ILS,368.62
덴마크 DKK,197.50
노르웨이 NOK,127.22
사우디아라비아 SAR,368.91
쿠웨이트 KWD,"4,490.09"
바레인 BHD,"3,670.65"
아랍에미리트 AED,376.80
요르단 JOD,"1,951.76"
이집트 EGP,29.08
태국 THB,37.65
싱가포르 SGD,"1,017.01"
말레이시아 MYR,289.65
인도네시아 IDR 100,8.75
카타르 QAR,378.60
카자흐스탄 KZT,3.08
브루나이 BND,"1,017.01"
인도 INR,16.59
파키스탄 PKR,4.98
방글라데시 BDT,12.61
필리핀 PHP,24.37
멕시코 MXN,83.34
브라질 BRL,270.43
베트남 VND 100,5.51
남아프리카 공화국 ZAR,73.37
러시아 RUB,14.84
헝가리 HUF,3.75
폴란드 PLN,343.71
스리랑카 LKR,4.64
알제리 DZD,10.29
케냐 KES,10.64
콜롬비아 COP,0.36
탄자니아 TZS,0.54
네팔 NPR,10.37
루마니아 RON,296.35
리비아 LYD,286.28
마카오 MOP,171.41
미얀마 MMK,0.66
에티오피아 ETB,24.33
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,610.67
